Relative_Humidity_Percentage,Indoor_Temperature_C,Outdoor_Temperature_C,Date
44,18.35,6.2,2017-03-09 06:22:50
45,18.2,6.4,2017-03-09 06:32:55
46,18.04,7.3,2017-03-09 06:43:00
47,17.88,7.9,2017-03-09 06:53:04
48,18.82,8.1,2017-03-09 07:03:10
50,20.71,8.2,2017-03-09 07:13:15
49,21.65,7.9,2017-03-09 07:23:19
48,22.43,7.4,2017-03-09 07:32:55
49,22.9,6.6,2017-03-09 07:42:59
47,23.22,7.2,2017-03-09 07:53:04
45,23.53,8.7,2017-03-09 08:03:08
44,24.0,10.0,2017-03-09 08:23:16
43,23.84,10.5,2017-03-09 08:33:20
44,23.22,9.1,2017-03-09 08:43:24
45,23.37,8.5,2017-03-09 08:53:28
45,23.53,9.1,2017-03-09 09:03:32
44,23.69,11.2,2017-03-09 09:13:35
45,23.84,10.6,2017-03-09 09:23:08
44,23.53,10.0,2017-03-09 09:33:11
43,23.06,9.2,2017-03-09 09:43:15
44,22.59,8.7,2017-03-09 09:52:48
47,22.27,8.8,2017-03-09 10:02:52
48,21.65,6.6,2017-03-09 10:11:55
47,21.18,6.8,2017-03-09 10:21:58
48,20.86,6.5,2017-03-09 10:32:01
49,20.55,5.6,2017-03-09 10:42:04
50,20.24,5.5,2017-03-09 10:52:07
52,20.08,5.2,2017-03-09 11:02:12
51,19.76,4.9,2017-03-09 11:12:14
50,19.61,3.1,2017-03-09 11:22:18
49,19.45,3.5,2017-03-09 11:32:22
48,19.29,5.1,2017-03-09 11:42:26
38,19.14,6.7,2017-03-09 11:52:29
36,18.82,7.4,2017-03-09 12:02:33
35,18.67,9.0,2017-03-09 12:12:36
37,18.51,8.5,2017-03-09 12:22:40
38,18.35,9.6,2017-03-09 12:32:43
39,18.2,8.9,2017-03-09 12:42:46
40,18.04,10.3,2017-03-09 12:52:48
41,17.88,12.2,2017-03-09 13:02:21
42,17.88,10.5,2017-03-09 13:12:24
42,17.88,4.5,2017-03-09 13:22:28
41,17.73,1.9,2017-03-09 13:29:10
42,17.41,0.4,2017-03-09 13:32:28
41,18.2,-1.7,2017-03-09 13:42:33
36,19.76,-2.2,2017-03-09 13:52:36
33,20.71,-2.4,2017-03-09 14:02:39
35,21.65,-2.3,2017-03-09 14:12:42
36,22.27,-2.2,2017-03-09 14:22:45
41,22.75,-2.7,2017-03-09 14:32:48
42,23.06,-1.6,2017-03-09 14:42:51
43,23.37,-0.4,2017-03-09 14:52:54
44,23.53,1.0,2017-03-09 15:02:57
45,23.69,4.2,2017-03-09 15:13:00
46,23.84,11.7,2017-03-09 15:22:33
45,24.0,15.0,2017-03-09 15:32:36
46,24.16,16.2,2017-03-09 15:42:40
47,24.47,18.4,2017-03-09 15:52:43
46,24.63,14.6,2017-03-09 16:02:46
47,24.47,15.1,2017-03-09 16:12:49
43,24.0,12.8,2017-03-09 16:22:53
41,23.53,9.1,2017-03-09 16:32:56
34,23.06,7.0,2017-03-09 16:43:00
36,22.59,6.6,2017-03-09 16:53:03
38,19.14,5.8,2017-03-09 17:03:06
39,18.82,3.0,2017-03-09 17:13:10
40,18.67,1.8,2017-03-09 17:23:14
40,18.51,1.2,2017-03-09 17:33:19
39,18.35,0.5,2017-03-09 17:43:23
40,18.2,-0.2,2017-03-09 17:53:27
41,18.04,0.1,2017-03-09 18:03:32
40,17.88,-0.2,2017-03-09 18:13:36
39,19.14,-1.0,2017-03-10 06:16:15
40,20.39,-1.2,2017-03-10 06:46:27
41,21.49,2.6,2017-03-10 06:56:34
40,22.27,5.5,2017-03-10 07:06:39
41,22.75,10.7,2017-03-10 07:16:13
42,23.22,13.8,2017-03-10 07:26:18
41,23.69,16.3,2017-03-10 07:36:24
42,24.0,16.3,2017-03-10 07:46:32
43,24.16,16.5,2017-03-10 07:56:37
44,24.31,17.1,2017-03-10 08:06:45
45,23.22,9.0,2017-03-10 08:16:51
44,22.27,8.0,2017-03-10 08:26:55
37,21.18,6.0,2017-03-10 08:37:00
36,20.39,5.2,2017-03-10 08:46:33
38,20.24,4.6,2017-03-10 08:56:38
39,19.76,4.2,2017-03-10 09:06:42
40,20.08,3.8,2017-03-10 09:16:45
39,20.71,3.1,2017-03-10 09:26:49
40,21.02,2.2,2017-03-10 09:36:54
40,20.86,1.8,2017-03-10 09:46:57
41,20.55,1.3,2017-03-10 09:57:01
40,20.24,0.8,2017-03-10 10:07:05
39,20.08,0.6,2017-03-10 10:17:10
40,19.76,0.1,2017-03-10 10:26:43
41,19.45,0.2,2017-03-10 10:36:17
40,19.14,1.5,2017-03-10 10:46:21
38,18.98,3.4,2017-03-10 10:56:26
39,18.82,7.2,2017-03-10 11:06:29
40,18.67,8.8,2017-03-10 11:16:32
41,18.51,10.7,2017-03-10 11:26:36
42,18.2,10.7,2017-03-10 11:36:40
43,18.2,12.4,2017-03-10 11:46:43
44,18.2,12.1,2017-03-10 11:56:16
45,18.04,10.9,2017-03-10 12:06:19
46,18.2,10.3,2017-03-10 12:16:22
47,18.04,9.8,2017-03-10 12:26:26
38,17.88,9.5,2017-03-10 12:36:00
39,17.73,8.6,2017-03-10 12:45:33
40,18.51,7.7,2017-03-10 12:55:36
41,19.92,6.2,2017-03-10 13:05:39
42,20.86,5.2,2017-03-10 13:15:43
41,21.8,4.4,2017-03-10 13:25:46
40,22.27,3.1,2017-03-10 13:32:25
40,22.59,2.4,2017-03-10 13:35:45
41,22.75,1.6,2017-03-10 13:45:49
40,22.9,1.1,2017-03-10 13:55:52
39,23.06,0.9,2017-03-10 14:05:24
37,23.37,1.1,2017-03-10 14:14:57
38,23.53,1.7,2017-03-10 14:25:01
39,23.22,2.9,2017-03-10 14:35:04
40,23.37,4.1,2017-03-10 14:45:07
41,22.59,5.8,2017-03-10 14:55:11
42,20.08,8.6,2017-03-10 15:05:14
43,19.92,10.4,2017-03-10 15:14:48
44,19.76,10.4,2017-03-10 15:24:20
45,18.04,11.4,2017-03-10 15:34:25
46,17.88,12.2,2017-03-10 15:44:29
47,17.73,13.1,2017-03-10 15:54:32
48,17.41,12.7,2017-03-10 16:04:35
47,17.25,12.1,2017-03-10 16:14:39
48,17.1,11.0,2017-03-10 16:24:43
49,16.94,10.0,2017-03-10 16:34:46
48,17.88,9.4,2017-03-10 16:44:48
47,19.45,8.1,2017-03-10 16:54:21
46,20.71,6.3,2017-03-10 17:04:23
39,21.49,5.6,2017-03-10 17:14:26
38,22.12,4.8,2017-03-10 17:24:30
39,22.27,3.9,2017-03-10 17:34:34
40,21.96,3.4,2017-03-10 17:44:39
41,21.49,2.9,2017-03-10 17:54:44
42,21.18,2.4,2017-03-10 18:04:48
41,20.71,2.2,2017-03-10 18:14:52
42,20.39,2.0,2017-03-10 18:24:55
42,19.92,3.0,2017-03-10 18:34:59
41,19.45,4.3,2017-03-10 19:24:48
42,19.29,5.7,2017-03-10 19:34:53
41,18.98,8.5,2017-03-10 19:44:56
40,18.67,10.4,2017-03-10 21:35:39
41,18.51,12.0,2017-03-11 10:18:30
42,18.2,11.9,2017-03-11 10:58:16
41,18.04,12.2,2017-03-11 11:08:21
42,17.88,11.6,2017-03-11 11:18:25
43,17.73,10.6,2017-03-11 11:27:59
44,17.41,10.2,2017-03-11 11:38:03
45,17.25,8.5,2017-03-11 11:48:07
46,16.78,7.3,2017-03-11 11:58:10
47,16.63,6.6,2017-03-11 12:07:43
48,16.78,5.7,2017-03-11 12:16:46
49,17.25,4.5,2017-03-11 12:26:20
50,17.41,3.6,2017-03-11 12:35:23
51,17.57,3.4,2017-03-11 12:44:57
50,17.73,3.3,2017-03-11 12:54:30
51,17.88,3.6,2017-03-11 13:04:33
40,18.04,4.3,2017-03-11 13:14:36
42,18.2,5.6,2017-03-11 13:24:10
43,18.51,9.1,2017-03-11 13:35:38
44,18.67,11.3,2017-03-11 13:44:29
45,18.82,13.0,2017-03-11 13:54:03
44,20.08,14.1,2017-03-11 14:04:09
45,20.08,16.1,2017-03-11 14:14:16
44,22.59,16.3,2017-03-11 14:24:21
44,23.37,15.8,2017-03-11 14:34:24
45,23.84,14.7,2017-03-11 14:44:28
44,24.0,14.5,2017-03-11 14:54:31
43,23.84,12.8,2017-03-11 15:04:34
42,23.53,10.6,2017-03-11 15:14:38
41,22.9,8.8,2017-03-11 15:24:42
42,22.43,7.3,2017-03-11 15:34:45
43,22.12,6.5,2017-03-11 15:44:20
44,21.49,5.3,2017-03-11 15:54:23
45,21.02,4.5,2017-03-11 16:04:28
46,20.71,3.9,2017-03-11 16:14:31
47,20.55,3.5,2017-03-11 16:24:35
48,20.24,2.9,2017-03-11 16:33:39
49,20.08,2.0,2017-03-11 16:43:44
48,19.92,2.4,2017-03-11 16:53:47
44,19.61,2.2,2017-03-11 17:03:50
43,19.45,3.5,2017-03-11 17:13:54
44,19.29,7.9,2017-03-11 17:23:59
45,19.14,12.7,2017-03-11 17:34:02
44,18.82,14.7,2017-03-11 17:54:10
43,18.67,15.5,2017-03-11 18:03:43
43,18.51,15.5,2017-03-11 18:13:47
44,18.35,15.7,2017-03-11 18:33:59
43,18.2,16.1,2017-03-11 18:54:06
44,18.67,14.1,2017-03-11 19:04:12
45,19.92,12.4,2017-03-12 03:35:56
46,21.02,12.0,2017-03-12 03:45:59
47,21.8,11.4,2017-03-12 10:47:32
49,22.59,10.9,2017-03-12 10:57:35
50,22.9,10.4,2017-03-12 11:07:40
51,23.06,9.8,2017-03-12 11:17:44
50,23.22,9.7,2017-03-12 11:27:19
51,23.69,8.0,2017-03-12 11:36:22
50,23.37,8.5,2017-03-12 11:45:55
49,23.06,9.0,2017-03-12 11:55:58
36,22.59,8.9,2017-03-12 12:05:00
37,22.43,9.2,2017-03-12 12:15:03
